cust_id,gender,age,marital,country,income,education,occupation,adoption
101501,1,41,0,19,4,14,0,0
101502,0,27,0,19,4,13,1,0
101503,1,20,0,19,4,9,2,0
101504,0,45,1,19,1,13,3,1
101505,0,34,0,19,4,14,1,1
101506,0,38,1,19,4,9,4,0
101507,0,28,1,19,4,12,1,0
101508,0,19,0,19,4,9,1,0
101509,0,52,1,16,4,13,4,0
101510,0,27,0,19,5,13,1,1
101511,0,30,0,19,4,13,1,0
101512,1,30,0,19,4,15,0,0
101513,0,31,1,19,4,13,1,0
101514,0,45,0,19,5,9,1,0
101515,1,36,0,19,4,7,4,0
101516,0,33,1,19,3,12,3,0
101517,1,38,0,19,4,9,1,0
101518,0,22,0,18,5,3,5,0
101519,1,46,2,16,4,12,1,0
101520,0,39,1,19,1,9,6,1
101521,0,61,1,19,5,9,4,0
101522,1,39,0,19,4,14,0,1
101523,0,22,3,19,5,9,1,0
101524,0,38,1,19,4,9,7,0
101525,1,18,0,19,4,9,1,0
101526,0,40,1,19,4,15,0,1
101527,0,19,0,19,4,12,2,0
101528,0,52,4,19,4,9,8,0
101529,0,22,0,19,4,12,9,0
101530,0,34,1,19,4,13,0,1
101531,0,28,1,18,4,12,6,0
101532,0,37,2,19,2,9,7,0
101533,1,48,3,19,3,13,2,0
101534,0,38,1,18,2,11,4,0
101535,1,33,0,19,5,13,0,1
101536,0,59,1,19,2,6,8,1
101537,0,31,1,19,2,12,3,0
101538,0,39,1,14,4,11,8,1
101539,1,69,5,17,4,11,10,0
101540,1,35,0,19,5,12,10,0
101541,0,48,1,19,1,10,8,1
101542,1,59,0,17,1,14,0,1
101543,0,43,2,19,4,12,2,1
101544,0,24,0,19,4,9,2,0
101545,1,43,0,19,5,12,3,0
101546,1,48,2,19,4,9,8,0
101547,0,49,3,19,3,14,11,0
101548,1,26,0,19,2,12,2,0
101549,0,38,1,19,5,12,3,1
101550,1,35,2,19,4,4,12,0
101551,0,66,1,7,4,16,0,1
101552,0,28,0,19,1,13,0,0
101553,0,52,1,19,2,9,9,0
101554,0,64,1,19,4,12,1,0
101555,0,41,1,17,1,4,8,0
101556,1,64,5,19,2,12,10,0
101557,0,47,1,19,4,9,1,1
101558,1,27,4,19,4,5,10,0
101559,0,38,1,19,2,14,3,1
101560,0,46,1,19,2,15,0,1
101561,0,34,1,19,4,12,4,0
101562,0,54,1,19,4,9,8,0
101563,1,47,0,16,4,9,3,0
101564,0,46,1,19,4,14,1,1
101565,1,32,0,19,4,14,3,1
101567,0,49,1,19,3,9,6,0
101568,0,21,0,19,3,12,9,0
101569,0,49,1,19,4,11,1,0
101570,0,42,1,19,4,15,0,1
101571,1,25,0,19,5,10,4,0
101572,1,46,2,19,4,9,2,0
101573,0,34,1,19,4,7,7,0
101574,0,52,1,19,3,12,1,0
101575,1,28,1,5,5,9,10,0
101576,1,21,0,19,4,12,4,0
101578,0,54,1,19,4,9,8,1
101579,0,46,1,19,4,12,7,0
101580,0,43,1,19,2,9,7,1
101581,0,42,1,19,4,15,0,1
101582,0,35,1,19,4,9,8,0
101583,0,57,2,13,5,2,8,0
101584,1,27,0,19,5,9,3,0
101585,0,21,0,19,4,12,9,0
101588,0,21,0,19,5,12,0,0
101589,0,42,2,19,2,9,7,0
101590,0,47,0,19,4,14,0,0
101591,1,40,2,19,4,12,4,0
101592,1,35,1,19,4,10,4,1
101593,0,53,1,19,3,14,3,1
101594,1,18,0,19,3,12,4,0
101595,0,26,1,19,4,13,4,1
101596,0,23,0,19,1,9,9,0
101597,0,18,0,19,4,7,9,0
101598,1,32,0,19,3,12,2,0
101599,0,51,2,19,1,9,8,0
101600,0,45,1,19,3,12,3,1
101601,0,56,1,19,4,12,8,0
101602,1,20,0,19,4,12,2,0
101603,0,47,1,19,3,9,8,1
101604,0,42,1,19,4,9,8,0
101605,0,48,1,19,4,13,3,1
101606,1,39,1,19,4,13,3,1
101607,0,59,4,19,3,12,1,1
101608,0,36,2,19,5,11,3,0
101609,1,18,0,19,4,7,1,0
101610,0,18,0,19,4,7,9,0
101611,1,20,0,19,3,12,10,0
101612,0,26,1,19,3,13,10,0
101613,0,33,0,10,4,9,4,0
101614,0,62,1,19,2,6,7,0
101615,1,27,2,19,4,12,2,0
101617,1,22,0,11,1,12,10,0
101618,0,46,1,19,2,12,8,0
101619,1,39,0,16,4,7,0,0
101620,0,46,1,19,4,9,2,1
101621,0,46,1,19,4,13,11,1
101622,0,23,0,19,4,9,7,0
101623,1,37,4,19,4,8,13,0
101624,0,37,0,6,1,12,4,0
101625,0,55,1,19,4,12,8,0
101626,1,45,2,19,4,14,0,0
101627,0,29,0,19,4,13,1,1
101628,0,20,0,19,4,12,10,0
101629,0,40,1,19,4,12,1,1
101630,0,40,1,19,2,12,1,0
101631,1,20,0,19,5,12,2,0
101632,0,35,4,19,4,9,6,0
101633,0,34,1,19,4,15,0,1
101634,0,24,1,19,4,13,1,0
101635,0,46,1,19,1,13,3,0
101636,0,17,0,19,5,8,4,0
101637,0,32,1,19,1,10,12,0
101638,0,41,1,19,2,13,1,0
101639,1,33,2,9,4,9,10,0
101640,0,29,0,19,4,12,3,0
101641,0,57,1,14,3,16,12,1
101642,1,32,1,19,3,12,12,0
101643,1,21,0,19,5,6,4,0
101644,0,36,2,19,4,9,7,0
101645,0,52,1,19,4,9,10,0
101646,0,41,1,19,1,13,12,0
101647,0,51,1,19,4,9,0,1
101648,0,51,2,19,4,9,1,0
101649,1,46,0,19,4,12,2,0
101650,0,20,0,19,4,12,4,0
101651,0,73,1,19,3,13,10,0
101652,0,42,1,19,2,13,5,0
101653,0,30,1,19,5,9,10,0
101654,0,47,1,19,5,9,2,1
101655,1,30,0,19,1,9,2,0
101656,0,33,1,19,2,12,1,0
101657,0,31,3,19,3,7,9,0
101658,0,23,0,19,4,9,1,0
101659,1,20,0,19,4,9,1,0
101660,0,37,1,19,1,9,12,0
101661,1,23,0,19,4,12,4,0
101662,0,45,1,19,4,13,3,1
101663,1,38,2,19,2,12,1,0
101664,0,47,1,19,2,9,3,1
101665,0,18,0,19,4,7,11,0
101666,0,44,1,19,4,9,6,0
101667,1,45,1,19,4,5,7,1
101668,0,34,0,17,5,12,9,0
101669,1,19,0,19,1,12,4,0
101670,0,35,1,19,4,9,4,0
101671,1,24,2,19,4,9,1,0
101672,1,26,0,19,4,13,1,0
101673,1,47,1,17,2,9,4,0
101674,0,18,0,19,5,12,1,0
101675,0,23,0,19,5,9,1,0
101676,0,41,1,19,4,14,3,1
101677,1,29,2,19,1,9,0,0
101678,0,36,1,19,4,9,7,1
101679,0,44,1,19,2,12,8,1
101680,0,31,1,19,3,9,5,0
101681,0,59,1,19,4,9,8,0
101683,0,25,0,19,1,9,9,0
101684,0,37,0,19,1,13,3,0
101685,0,54,1,19,4,9,8,0
101686,0,47,1,17,4,14,0,1
101687,1,50,5,19,4,9,12,0
101688,1,32,0,18,5,9,13,0
101689,0,44,1,17,3,13,1,1
101690,0,61,1,19,4,13,0,1
101691,1,23,0,19,4,12,4,0
101692,1,38,0,19,4,13,11,1
101693,1,79,1,19,2,11,10,1
101694,1,45,1,19,4,8,2,1
101695,0,56,1,19,4,9,8,0
101696,1,39,0,19,4,9,8,0
101697,0,44,1,19,2,15,0,1
101698,0,34,2,19,4,9,9,0
101699,0,49,1,19,4,13,1,1
101700,1,30,0,19,4,11,7,0
101701,1,20,0,19,1,12,10,0
101702,0,64,1,19,5,13,1,0
101703,1,27,2,19,4,9,2,0
101704,1,20,0,19,2,12,3,0
101705,1,21,0,19,4,10,12,0
101706,0,22,3,19,1,12,12,0
101707,0,43,2,19,4,9,4,0
101708,0,67,1,19,4,16,0,1
101709,0,29,0,19,4,13,1,0
101710,0,25,0,19,2,8,9,0
101711,1,23,0,19,4,12,2,0
101712,0,47,1,19,4,11,2,1
101713,0,51,3,19,4,9,10,1
101714,0,26,0,19,4,9,9,0
101715,1,49,0,19,1,13,0,0
101716,1,34,4,19,3,9,3,0
101717,0,26,1,19,4,9,2,0
101718,1,19,0,19,3,12,4,0
101719,0,29,0,19,4,10,7,0
101720,1,17,0,19,3,6,4,0
101721,0,67,1,19,2,16,1,1
101722,0,57,1,19,5,9,3,0
101723,1,53,2,19,1,12,0,0
101724,0,28,0,16,4,9,7,0
101725,0,23,0,19,4,9,11,0
101726,0,40,1,19,4,9,3,0
101728,0,26,0,18,4,7,4,0
101729,0,22,1,19,4,13,3,0
101730,0,71,1,19,3,12,3,1
101731,0,55,1,19,1,12,1,0
101732,1,59,5,19,4,9,3,0
101733,0,39,1,19,4,14,3,0
101734,1,38,2,19,1,12,11,1
101735,0,63,1,19,2,11,1,1
101736,1,29,2,19,4,12,10,0
101737,0,44,1,19,4,13,3,1
101739,0,29,1,14,4,9,1,0
101740,1,42,2,19,2,12,3,0
101741,0,34,1,19,5,12,0,1
101742,0,31,2,19,4,9,7,0
101743,0,46,1,19,2,9,3,1
101744,1,28,0,19,3,13,2,0
101745,0,33,1,19,2,8,11,0
101746,0,60,1,19,1,9,6,1
101747,0,53,1,19,4,12,11,1
101748,0,35,1,19,1,12,11,0
101749,0,32,1,19,1,9,8,1
101750,1,23,0,19,4,10,2,0
101751,1,34,0,19,3,9,2,0
101752,1,20,0,19,3,12,0,0
101753,1,39,5,19,4,11,2,0
101754,0,45,1,19,3,9,3,1
101755,0,38,1,19,4,12,3,1
101756,1,30,0,12,4,12,3,0
101757,0,52,3,19,4,13,4,0
101758,0,26,1,19,4,10,5,0
101759,1,21,0,19,3,9,1,0
101760,0,28,0,19,5,10,1,0
101761,0,23,0,19,4,10,8,0
101762,1,17,0,19,4,6,11,0
101763,0,50,1,19,3,14,0,1
101764,1,46,2,19,4,13,2,1
101765,0,71,1,19,4,9,10,0
101766,1,34,0,19,3,12,2,0
101768,0,29,1,19,2,12,8,0
101769,0,41,1,19,1,9,5,1
101770,1,39,0,19,4,12,4,0
101771,0,48,1,19,2,13,8,0
101772,0,23,0,19,4,10,1,0
101773,1,32,1,19,2,13,3,1
101774,1,47,0,19,3,14,0,0
101775,0,24,0,19,5,13,2,0
101776,0,43,1,19,2,9,7,0
101778,1,17,0,19,4,6,4,0
101779,0,32,2,19,4,9,1,0
101780,0,31,1,14,5,12,3,1
101781,0,35,1,19,1,14,3,1
101782,0,54,1,19,4,9,3,1
101784,1,34,4,19,2,14,0,0
101785,0,21,0,19,5,9,6,0
101786,1,34,2,19,4,12,4,0
101787,1,37,0,19,3,10,2,0
101788,0,18,0,19,2,6,4,0
101789,0,56,0,19,5,14,1,0
101790,1,38,1,15,2,4,7,1
101792,1,46,1,19,4,12,5,0
101793,0,38,1,19,2,13,0,1
101794,1,39,0,19,4,11,12,0
101795,0,33,3,17,4,12,8,0
101796,0,33,0,19,4,12,0,0
101797,0,52,1,19,4,13,0,0
101798,0,43,1,19,3,9,3,1
101799,0,59,2,12,4,9,0,0
101800,0,45,1,19,3,10,8,1
101801,0,44,1,19,4,12,3,1
101802,1,51,4,19,4,13,2,0
101803,0,33,1,19,1,7,3,0
101804,1,32,2,19,4,11,7,0
101805,0,36,1,19,4,9,3,0
101806,1,37,2,17,3,9,10,0
101807,1,35,1,19,3,12,2,0
101808,0,43,1,19,1,12,5,0
101809,0,41,2,19,2,12,8,0
101810,0,27,0,18,4,9,4,0
101811,0,38,1,19,4,9,8,0
101812,1,42,0,19,2,11,10,0
101813,0,54,1,19,3,12,8,1
101814,0,29,0,19,4,13,12,0
101815,0,27,0,19,3,9,8,0
101816,0,44,1,19,1,13,3,1
101817,1,46,2,19,4,16,0,1
101818,1,48,2,19,5,12,2,0
101819,0,38,1,19,4,9,8,0
101820,0,62,0,19,4,13,5,0
101821,0,39,1,19,4,12,8,1
101823,0,45,1,19,4,13,3,1
101824,0,40,1,19,4,13,1,1
101825,1,52,2,19,1,9,2,0
101826,0,43,1,19,4,11,3,1
101827,0,31,1,19,4,6,8,0
101828,0,53,1,19,1,12,6,1
101829,0,31,1,18,5,13,7,0
101830,0,29,0,19,4,13,3,0
101831,0,46,1,19,1,15,3,1
101832,0,43,1,19,5,10,8,0
101833,0,48,1,19,4,9,8,1
101834,1,41,1,19,2,12,6,0
101835,1,25,0,17,3,15,0,0
101836,1,64,4,19,4,11,0,1
101837,0,26,1,19,4,9,7,1
101838,0,45,2,19,4,14,3,1
101839,1,27,0,19,4,16,2,0
101840,0,66,1,19,2,12,10,0
101841,0,33,1,19,4,5,7,0
101842,0,19,0,19,4,12,10,0
101843,1,53,0,19,3,13,0,0
101844,0,56,1,13,2,4,8,0
101847,1,45,4,19,4,7,2,0
101848,0,51,1,19,2,9,8,0
101849,0,31,1,19,4,9,1,0
101850,1,51,4,18,4,3,7,0
101851,1,54,3,19,4,9,3,0
101852,1,31,0,19,4,13,2,0
101853,1,24,0,19,5,13,0,0
101854,0,33,1,19,4,9,8,1
101855,0,23,1,19,1,12,7,0
101856,1,70,5,19,4,12,1,0
101857,1,43,2,19,2,12,11,0
101858,0,49,1,14,4,10,0,1
101859,0,35,1,19,3,9,7,1
101860,0,57,1,19,4,6,8,0
101861,0,44,1,19,2,16,0,0
101862,1,56,1,19,2,9,1,0
101863,0,51,1,19,3,15,0,1
101864,1,23,0,19,4,13,3,0
101865,0,55,1,19,4,9,6,1
101866,1,22,0,19,5,9,4,0
101867,0,30,0,17,4,9,8,0
101868,1,43,0,13,2,5,1,0
101870,0,27,0,19,3,9,6,0
101871,0,25,0,19,3,5,8,0
101872,0,55,1,19,3,7,3,0
101873,1,19,0,19,5,9,10,0
101874,1,23,0,19,4,12,2,0
101875,1,22,0,19,4,9,4,0
101876,1,26,0,19,4,13,0,0
101878,0,42,1,8,3,16,0,1
101879,1,44,2,19,2,12,2,0
101880,0,34,1,19,5,12,8,0
101882,0,53,1,19,3,4,7,0
101883,1,48,2,19,3,13,1,0
101884,0,37,2,19,4,9,8,0
101885,1,39,1,19,5,15,3,1
101886,0,17,0,19,2,6,4,0
101887,1,68,5,17,4,4,10,0
101888,1,23,1,19,3,12,1,0
101889,0,29,1,19,4,13,1,1
101890,1,19,0,19,2,9,1,0
101891,0,47,1,19,4,9,8,1
101892,0,48,1,19,5,9,2,1
101893,0,27,0,19,3,12,8,0
101894,0,42,1,19,1,13,1,0
101895,1,58,5,19,4,7,4,0
101896,1,20,0,19,4,12,2,0
101897,0,34,1,19,4,9,11,0
101898,1,47,3,16,4,12,3,0
101899,0,60,1,19,2,4,1,0
101901,0,25,1,19,5,12,1,0
101902,0,24,1,19,4,12,7,0
101903,1,22,0,19,4,12,1,0
101904,0,39,1,19,3,9,8,0
101905,1,19,0,19,4,12,4,0
101906,1,29,1,19,2,12,2,1
101907,0,56,0,19,4,13,3,1
101908,0,19,0,19,5,9,8,0
101909,1,44,0,19,2,14,0,0
101910,0,53,1,19,4,9,4,0
101911,0,22,0,19,5,9,7,0
101912,1,62,0,19,3,12,8,1
101913,0,71,4,19,5,12,1,0
101914,0,63,1,19,1,13,10,1
101915,1,31,1,18,4,9,10,0
101916,0,41,1,19,4,13,3,1
101917,0,49,1,19,4,12,8,1
101918,0,58,1,19,4,9,8,0
101919,0,36,2,19,5,6,8,0
101920,0,34,2,19,4,9,8,0
101921,1,25,0,7,5,13,4,0
101922,0,62,1,19,3,8,8,1
101923,0,23,0,19,4,12,14,0
101924,1,26,0,19,4,13,2,1
101925,1,23,0,19,4,9,4,0
101926,0,20,0,19,3,12,4,0
101927,1,25,0,19,4,12,3,0
101928,0,39,1,19,4,9,8,0
101929,0,36,0,19,4,9,7,0
101930,1,36,0,19,4,9,8,0
101931,1,51,4,19,2,11,4,0
101932,0,51,1,19,4,9,10,0
101934,1,17,0,19,4,7,1,0
101935,0,38,1,19,3,15,0,1
101936,0,27,0,19,4,13,3,0
101937,0,59,1,19,4,11,8,1
101938,1,36,0,19,4,9,1,0
101939,0,38,2,19,4,9,7,0
101940,0,22,0,19,4,12,10,0
101941,0,27,0,19,4,9,8,0
101942,0,27,0,19,5,13,0,0
101943,1,53,0,19,3,12,11,0
101944,1,46,4,19,3,5,7,0
101945,1,24,4,19,3,12,1,0
101946,1,28,0,19,5,14,0,1
101947,0,48,1,19,3,5,8,0
101948,1,27,0,19,3,13,0,0
101949,1,50,2,19,4,9,1,0
101950,1,24,0,19,4,9,2,0
101952,0,55,1,19,3,15,3,1
101953,1,33,0,19,2,13,0,0
101954,1,22,0,19,5,9,2,0
101955,0,33,1,19,4,9,6,0
101956,1,17,0,16,4,7,0,0
101957,0,25,0,17,4,9,6,0
101958,0,50,3,19,1,13,0,0
101959,0,62,0,19,2,9,8,0
101960,0,32,4,17,4,9,3,0
101961,0,23,1,19,2,13,4,0
101962,1,45,2,19,4,12,1,0
101963,0,39,1,19,4,12,5,0
101964,0,47,1,19,2,4,6,0
101965,0,38,2,19,5,5,8,0
101966,0,28,1,19,1,12,2,1
101967,1,63,1,19,2,9,6,0
101968,0,30,1,11,4,12,3,1
101969,0,34,1,19,4,13,3,1
101970,1,30,2,19,1,12,12,0
101972,0,53,1,19,4,16,0,1
101973,0,30,0,19,5,16,0,0
101974,0,34,1,19,1,9,5,0
101975,1,41,2,19,1,9,4,0
101976,0,35,0,18,4,3,8,0
101977,1,36,0,19,4,12,8,0
101978,0,46,1,19,5,12,6,1
101979,0,24,0,19,4,13,3,0
101981,0,18,0,19,4,12,4,0
101982,1,60,2,19,4,11,4,0
101983,0,43,1,19,4,13,1,1
101984,0,21,0,19,3,9,5,0
101985,0,25,0,19,4,11,5,0
101986,0,51,1,19,2,9,8,0
101988,0,33,1,19,3,15,0,1
101989,0,59,0,19,4,4,4,0
101991,0,38,1,19,4,6,7,1
101992,0,25,0,19,4,9,4,0
101993,0,39,0,19,4,13,3,0
101994,1,63,2,19,3,9,3,0
101995,1,25,0,19,3,12,4,0
101996,0,29,1,19,3,9,8,0
101997,0,17,0,19,3,6,4,0
101998,0,26,1,17,5,12,1,0
